Age . Location,Bio,Agree,Disagree,Find Out,Ques_Ans,Label
25 • Kolkata,Nothing described me best untill u don't want to understand me.....not hear for hookups😏,3,12,0,15,Ok
24 • Delhi,..,7,8,0,15,Low Info
25 • Delhi,"Hi am Riya Malakar , 24 year old , living in Delhi , Pursuing masters in English literature",23,28,6,57,Ok
27 • Daryā Ganj,I m very emotional person.,42,45,15,102,Ok
28 • Dehra Dūn,Very simple girl.,39,41,20,100,Ok
23 • Ludhiāna,😊😊,9,6,0,15,Low Info
27 • Delhi,hi im nt so good with the introduction part but i would like to say that im a cook and i love nature nd dancing whenevr i gt the chance to groove in...here to look for a caring intellectual guy...,6,9,0,15,Ok
21 • Kolkata,Anime & pups✨,22,13,2,37,Ok
24 • Āgra,"24 , Punjabi
Need a person who can vibe on punjabi music ❤
Keep lurking that's why it's public. Moody sometimes
Being bilingual is my biggest flex👽
Not a lister so drop a message so I would know🙂 insta - itssurbhivij",36,28,29,93,Ok
21 • New Delhi,Let's be friends first. It takes some time to get to know a person.,24,13,134,171,Ok
24 • Kolkata,"My soul belongs to the sky. ( Future pilot )
•Small businesses owner• Dancer • Cyclist.

Well to start with, I am really bad at summarizing myself. It's quite a hard thing to do. Still, let me give it a shot. my self Priyanka. I am 23 years old Bengali girl. I live in India. presently, stay in Kolkata. I am still a student. And I am pursuing commercial pilot training. besides, I am a dance instructor. and also run a small business related to handmade jewellery. I have 2 large size dogs, I spend a lot of time playing with them. in addition; I’m independent straightforward, some may say too honest, confident and with a good sense of humour among other things. Go to the gym on regular basis. I am adventurous, intellectual, creative, and outgoing. I love travelling, scuba diving, sky diving, cycling, hiking, camping, flying and many more things. travelling is a big part of my life and has enjoyed exploring many vast cultures.

So I am looking forward to dating someone.
Or you can say finding someone special.

nd that all.",4,10,1,15,Ok
28 • Delhi,an introvert by heart & actions.,9,6,0,15,Ok
27 • Delhi,"Let's talk about life
Instagram Priyaabwaj
Snapchat- Priyaabwaj",16,11,4,31,Ok
"27 • Negombo, Sri Lanka",Travel around the world,11,6,23,40,Ok
22 • Chandīgarh,Stubborn,6,9,0,15,Low Info
24 • New Delhi,.,7,11,2,20,Low Info
26 • Delhi,I just find myself happy with the simple things. Appreciating the blessings god gave me.,5,9,0,14,Ok
25 • Badarpur,"She/Her. A feminist and a cinephile. In search for her Jack Pearson somewhere. Loves to know about life of different people. Sometimes, write English and Hindi poetry.",34,28,34,96,Ok
"19 • Gampaha, Sri Lanka",I like listening to music and drawing. Have an obsession over cats xd. Here to get to know new people :3,9,6,55,70,Ok
26 • Chandīgarh,"Sometime a call with a stranger who would understand you and in return wont judge you makes you feel good..Up for genuine conversation...😇
Message me,cant see your likes🤗life m all going good...but sometime do feel ki need a person to talk to...bdw people asking me ki whether I am real??yes I am...😀",30,25,9,64,Ok
24 • Delhi,Oppositely positive,16,30,2,48,Ok
27 • Delhi,"Not here for casual stuffs, ONS etc etc.
Fake people - It will not take a second for me to block you. ⚔️
Rest will talk because even if I write about me over here I have to discuss same thing in making conversation. 🙂

Moreover I cannot see likes, if want to connect you need to drop me message.

Not from Delhi. Exploring people through this app virtually.",32,18,35,85,Ok
26 • Delhi Cantonment,Good behaviour,2,4,7,13,Low Info
25 • Kolkata,"Nationalist, opinionated, foodie, politically conservative, doctor in making, bibliophile, and a Harry Potter fan. Not necessarily in that order :)",78,43,2561,2682,Ok
24 • Kolkata,"Old school, Amnivert,Stoner. Definitely not looking for hookups.",90,21,96,207,Ok
26 • Nāngloi Jāt,Dog lover,7,8,0,15,Low Info
23 • Delhi,"Naughty 💆🏻‍♀️
Foody 🥯🥪🍔
Chocolate 🍫
Eightfourfourninefivesixeightninethreefour
Black lover
Selfie queen 🤳",5,10,0,15,Fake
22 • Shāhdara,....,6,9,0,15,Low Info
25 • Kālkāji Devi,I'm chubby and sweet girl,22,24,3,49,Ok
22 • Kolkata,"Hi stranger here is a happiest depressed person. basically a overthinker, who think a lot.I think I am the most emotional person in the world. It's really hard to understand myself. I am keep trying to understand me. I wish you may discover me ✌️☺️ Then ask me what you want to know about me😅

And if you're this type of person who is here for hookups, casual relationship and if you are a smoker,drinker- guys u r not my type.",89,27,417,533,Ok
25 • Haldwāni,Not here for hookups ❌,7,8,0,15,Ok
25 • New Delhi,"I am a to be lawyer, have a knack for organising stuffs, overtly emotional and an extremely old school person. A foodie who loves punjab and its culture. A believer of traditions and values. I can narrate you stories on spot and make you feel as the protagonist in an entirely different world.
5'7 tall (if that matters)
PS : a die hard fan of F.R.I.E.N.D.S , if you can relate me with one character, it would be MONICA",66,51,431,548,Ok
19 • Kolkata,"19 | Dancer | Influencer 🌹
Instagram - bosslad_y",58,13,135,206,Ok
26 • Kol,Not looking for hook-ups.,57,18,38,113,Ok
28 • Delhi,"Hello, looking for new friends and something meaningful around the town!
Values and longs for hugs more than kisses.",20,10,3,33,Ok
21 • Aurangābad,ku btau😝,27,13,41,81,Ok
27 • Ludhiāna,...,29,7,41,77,Ok
26 • Delhi,A moment to slow down and appreciate the good things in life.Looking for good conversation and for making good friends.Energetic. Free spirited.Passionate.,16,15,2,33,Ok
21 • New Delhi,"Hi, I'm Anam, if I do a bio it's gonna be cliché AS FUCK so cut me some slack",9,8,3,20,Ok
24 • Shiliguri,Looking a handsome dominant men for chat and fun... from siliguri..... faceless people stay away from me......,37,21,19,77,Ok
22 • Hyderābād,"Loyal,honest,hard working",27,19,4,50,Ok
27 • Delhi,"An old soul with a sage's wisdom and a child's heart (or so I think, lol). I'm looking for organic and genuine connections here so text me only if you're looking for the same. I'll stop writing before this starts looking like an ad, haha. Geez, writing bios can be daunting and seem so pretentious! I can't be the only one who thinks so?",22,9,1,32,Ok
22 • Hyderābād,"This is valcano ...bold and wild and open mentality type ...
I can talk freely no problem ..
Konni intain chyadam kastam gals ki like slim n curvy shapes .. but maintain Chyli kada apude western dresses try chyachu

Telegram I'd :soumyasweetie

Snap chat I'd : soumyasweeti313",18,23,4,45,Fake
27 • New Delhi,"Well, total crazy one, weirdo, funny and extremely emotional..",29,27,102,158,Ok
27 • New Delhi,Just be yourself there is no one better🌼,6,5,4,15,Ok
